Key,Desc,Default,English
The material the object is made out of. Affects the sounds that object makes. These sounds can be overriden using the TTSAssetBundleSound script.,,The material the object is made out of. Affects the sounds that object makes. These sounds can be overriden using the TTSAssetBundleSound script.,The material the object is made out of. Affects the sounds that object makes. These sounds can be overriden using the TTSAssetBundleSound script.
The max number of players in the server.,,The max number of players in the server.,The max number of players in the server.
The maximum distance between the bodies relative to their initial distance.,,The maximum distance between the bodies relative to their initial distance.,The maximum distance between the bodies relative to their initial distance.
The minimum distance between the bodies relative to their initial distance.,,The minimum distance between the bodies relative to their initial distance.,The minimum distance between the bodies relative to their initial distance.
"The most reduced physics mode. Objects that are at rest will no longer interact with other objects. No throwing, clumping, lowering, or pushing.",,"The most reduced physics mode. Objects that are at rest will no longer interact with other objects. No throwing, clumping, lowering, or pushing.","The most reduced physics mode. Objects that are at rest will no longer interact with other objects. No throwing, clumping, lowering, or pushing."
The motor will apply a force up to a maximum force to achieve the velocity in degrees per second.,,The motor will apply a force up to a maximum force to achieve the velocity in degrees per second.,The motor will apply a force up to a maximum force to achieve the velocity in degrees per second.
The name for the server.,,The name for the server.,The name for the server.
The name of the asset.,,The name of the asset.,The name of the asset.
The name of the audio asset.,,The name of the audio asset.,The name of the audio asset.
The name of the decal.,,The name of the decal.,The name of the decal.
The number of pixels the game uses to render. Recommended to be the same as your monitor.,,The number of pixels the game uses to render. Recommended to be the same as your monitor.,The number of pixels the game uses to render. Recommended to be the same as your monitor.
The object will stretch to match the aspect ratio of the supplied image.,,The object will stretch to match the aspect ratio of the supplied image.,The object will stretch to match the aspect ratio of the supplied image.
The password for the server. Only usable for public servers.,,The password for the server. Only usable for public servers.,The password for the server. Only usable for public servers.
The points tool can be used to create snap points and rotate snap points to make placing objects down much easier and smoother. Clicking on an unlocked object will place the snap point right where it's place. Clicking on a locked object will attache the snap point to that object.,,The points tool can be used to create snap points and rotate snap points to make placing objects down much easier and smoother. Clicking on an unlocked object will place the snap point right where it's place. Clicking on a locked object will attache the snap point to that object.,The points tool can be used to create snap points and rotate snap points to make placing objects down much easier and smoother. Clicking on an unlocked object will place the snap point right where it's place. Clicking on a locked object will attache the snap point to that object.
"The quality, filtering, and distance of shadows. Also affects the lighting quality.",,"The quality, filtering, and distance of shadows. Also affects the lighting quality.","The quality, filtering, and distance of shadows. Also affects the lighting quality."
"The reflective color of the object. RGB 255, 255, 255.",,"The reflective color of the object. RGB 255, 255, 255.","The reflective color of the object. RGB 255, 255, 255."
The saved objects menu is where you can saved and spawn any of your custom objects. You can click to spawn or drag and drop.,,The saved objects menu is where you can saved and spawn any of your custom objects. You can click to spawn or drag and drop.,The saved objects menu is where you can saved and spawn any of your custom objects. You can click to spawn or drag and drop.
The size of the decal in inches.,,The size of the decal in inches.,The size of the decal in inches.
The spring force used to keep the two objects together.,,The spring force used to keep the two objects together.,The spring force used to keep the two objects together.
The text tool can be used to write text on any locked object. You can change the size of the font and the color.,,The text tool can be used to write text on any locked object. You can change the size of the font and the color.,The text tool can be used to write text on any locked object. You can change the size of the font and the color.
The thickness or depth of the mesh.,,The thickness or depth of the mesh.,The thickness or depth of the mesh.
The torque that needs to be applied for this joint to break.,,The torque that needs to be applied for this joint to break.,The torque that needs to be applied for this joint to break.
The type of the game you are playing (Used to search for games).,,The type of the game you are playing (Used to search for games).,The type of the game you are playing (Used to search for games).
The zone tool is a collection of tools that deal with rectangle areas.,,The zone tool is a collection of tools that deal with rectangle areas.,The zone tool is a collection of tools that deal with rectangle areas.
Thematic Games,,Thematic Games,Thematic Games
Theme,,Theme,Theme
Theme Editor,,Theme Editor,Theme Editor
Theme:,,Theme:,Theme:
Theme: {0},,Theme: {0},Theme: {0}
"There are a lot of tips, tricks and tutorials that can really enchance your gameplay and prototyping in our Knowledge Base.",,"There are a lot of tips, tricks and tutorials that can really enchance your gameplay and prototyping in our Knowledge Base.","There are a lot of tips, tricks and tutorials that can really enchance your gameplay and prototyping in our Knowledge Base."
There tags are used to filter your games.,,There tags are used to filter your games.,There tags are used to filter your games.
Theses backgrounds provide the different lighting effects on the objects.,,Theses backgrounds provide the different lighting effects on the objects.,Theses backgrounds provide the different lighting effects on the objects.
Thick,,Thick,Thick
Thickness,,Thickness,Thickness
Thief,,Thief,Thief
Thin,,Thin,Thin
This Menu,,This Menu,This Menu
This determines how objects are hidden in hands.,,This determines how objects are hidden in hands.,This determines how objects are hidden in hands.
"This is an advanced feature that gives you more control on how multiple objects work together. You can create moving wheels, spinners, and much more.",,"This is an advanced feature that gives you more control on how multiple objects work together. You can create moving wheels, spinners, and much more.","This is an advanced feature that gives you more control on how multiple objects work together. You can create moving wheels, spinners, and much more."
This is an advanced feature which gives you control on the physics and materials of objects.,,This is an advanced feature which gives you control on the physics and materials of objects.,This is an advanced feature which gives you control on the physics and materials of objects.
This is tags used to search in the Steam Workshop.,,This is tags used to search in the Steam Workshop.,This is tags used to search in the Steam Workshop.
This is the amount of time the current game takes (Used to search for games).,,This is the amount of time the current game takes (Used to search for games).,This is the amount of time the current game takes (Used to search for games).
This is the number of players the current game allows (different from the max number of players allowed on the server).,,This is the number of players the current game allows (different from the max number of players allowed on the server).,This is the number of players the current game allows (different from the max number of players allowed on the server).
This menu is used to update an existing mod on the Workshop.,,This menu is used to update an existing mod on the Workshop.,This menu is used to update an existing mod on the Workshop.
"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod.",,"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod.","This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod."
"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the Update Workshop tab. If not, you will generate multiple versions of your mod.",,"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod.  <Click to open page to knowledge base.>","This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod.  <Click to open page to knowledge base.>"
This object will hold one object inside with an infinite number of them.,,This object will hold one object inside with an infinite number of them.,This object will hold one object inside with an infinite number of them.
This object will hold others inside.,,This object will hold others inside.,This object will hold others inside.
This only takes effect if you are using the gradient mode above.,,This only takes effect if you are using the gradient mode above.,This only takes effect if you are using the gradient mode above.
"This switches you between 3 different camera modes: 3rd Person (Default), 1st Person & Topdown.",,"This switches you between 3 different camera modes: 3rd Person (Default), 1st Person & Topdown.","This switches you between 3 different camera modes: 3rd Person (Default), 1st Person & Topdown."
Tile,,Tile,Tile
Tileset,,Tileset,Tileset
Tilt Angle,,Tilt Angle,Tilt Angle
Tilt Mode,,Tilt Mode,Tilt Mode
Time to move those feet!,,Time to move those feet!,Time to move those feet!
Timer,,Timer,Timer
Timer Seconds,,Timer Seconds,Timer Seconds
Timestamp Game,,Timestamp Game,Timestamp Game
Timestamp Global,,Timestamp Global,Timestamp Global
Timestamp System,,Timestamp System,Timestamp System
Timestamp Team,,Timestamp Team,Timestamp Team
Timestamps,,Timestamps,Timestamps
Title,,Title,Title
"To select more than one object, hold and press the left mouse button over each object you want to select. Alternatively, you can drag a box around multiple objects to select them.",,"To select more than one object, hold and press the left mouse button over each object you want to select. Alternatively, you can drag a box around multiple objects to select them.","To select more than one object, hold and press the left mouse button over each object you want to select. Alternatively, you can drag a box around multiple objects to select them."
"To use double digits, just type them quickly. There is a slight delay before the dice changes.",,"To use double digits, just type them quickly. There is a slight delay before the dice changes.","To use double digits, just type them quickly. There is a slight delay before the dice changes."
Toggle,,Toggle,Toggle
Toggle Lua scripting on or off.,,Toggle Lua scripting on or off.,Toggle Lua scripting on or off.
Toggle between a thin or thick line.,,Toggle between a thin or thick line.,Toggle between a thin or thick line.
Toggle between using the ambient light of the selected background or the gradient colors below.,,Toggle between using the ambient light of the selected background or the gradient colors below.,Toggle between using the ambient light of the selected background or the gradient colors below.
Toggle between window or fullscreen.,,Toggle between window or fullscreen.,Toggle between window or fullscreen.
Toggle revealing of Fog of War by this piece.,,Toggle revealing of Fog of War by this piece.,Toggle revealing of Fog of War by this piece.
Toggles,,Toggles,Toggles
Token,,Token,Token
Tool,,Tool,Tool
Tool Icon Colored,,Tool Icon Colored,Tool Icon Colored
Tools,,Tools,Tools
Tooltip,,Tooltip,Tooltip
Tooltips Action Enabled,,Tooltips Action Enabled,Tooltips Action Enabled
Tooltips Always On,,Tooltips Always On,Tooltips Always On
Tooltips Initial Duration,,Tooltips Initial Duration,Tooltips Initial Duration
Top Down,,Top Down,Top Down
Top Image,,Top Image,Top Image
Top Menu,,Top Menu,Top Menu
Touch,,Touch,Touch
Touch (Pad Down) on a controller while hovering over an object (with either controller).,,Touch <Pad Down> on a controller while hovering over an object (with either controller).,Touch <Pad Down> on a controller while hovering over an object (with either controller).
Trading Card Games,,Trading Card Games,Trading Card Games
Transform Space,,Transform Space,Transform Space
Tree,,Tree,Tree
Tree Ent,,Tree Ent,Tree Ent
Trigger Effect,,Trigger Effect,Trigger Effect
Troll,,Troll,Troll
Tunnel,,Tunnel,Tunnel
Turn (Click to skip),,Turn (Click to skip),Turn (Click to skip)
Turns,,Turns,Turns
Turns allow an easy way to keep track of who should be playing.,,Turns allow an easy way to keep track of who should be playing.,Turns allow an easy way to keep track of who should be playing.
Tutorial,,Tutorial,Tutorial
Tutorial Test Font,,Tutorial Test Font,Tutorial Test Font
Type,,Type,Type
Type determines the shape of the cards.,,Type determines the shape of the cards.,Type determines the shape of the cards.
Type help in both the GLOBAL and GAME tabs to bring up all the chat commands for each tab.,,Type /help in both the GLOBAL and GAME tabs to bring up all the chat commands for each tab.,Type /help in both the GLOBAL and GAME tabs to bring up all the chat commands for each tab.
Type of server you want to have. This limits who can join.,,Type of server you want to have. This limits who can join.,Type of server you want to have. This limits who can join.
UI Mode,,UI Mode,UI Mode
UI Scale,,UI Scale,UI Scale
UI Tooltip Delay,,UI Tooltip Delay,UI Tooltip Delay
UPDATE,,Update,Update
UPLOAD_MUSIC,,Upload Music,Upload Music
UPLOAD_MUSIC_FOLDER,,Upload Music Folder,Upload Music Folder
UP_THEN_LEFT,,Up / Left,Up / Left
UP_THEN_RIGHT,,Up / Right,Up / Right
URL,,URL,URL
USE_GIZMO_FOR_GRID,,Use Gizmo Tool to align grid: select a component to center grid on it.  ctrl-click a second component to align grid size.,Use Gizmo Tool to align grid: select a component to center grid on it.  ctrl-click a second component to align grid size.
Ultra,,Ultra,Ultra
Under,,Under,Under
Unique Backs,,Unique Backs,Unique Backs
Units,,Units,Units
Unknown Title,,Unknown Title,Unknown Title
Up,,Up,Up
Update Existing Mod,,Update Existing Mod,Update Existing Mod
Update Workshop,,Update Workshop,Update Workshop
Updated,,Updated,Updated
Upload,,Upload,Upload
Upload All Loaded Files,,Upload All Loaded Files,Upload All Loaded Files
Upload File,,Upload File,Upload File
Upload Local File,,Upload Local File,Upload Local File
Upload Workshop,,Upload Workshop,Upload Workshop
"Upload all currently loaded custom files to the Steam Cloud. Great for converting your local content to work in multiplayer or backing up mods with dead links to the Steam Cloud. Custom files must be cached to disk to work, so search any bags first to force a cache.",,"Upload all currently loaded custom files to the Steam Cloud. Great for converting your local content to work in multiplayer or backing up mods with dead links to the Steam Cloud. Custom files must be cached to disk to work, so search any bags first to force a cache.","Upload all currently loaded custom files to the Steam Cloud. Great for converting your local content to work in multiplayer or backing up mods with dead links to the Steam Cloud. Custom files must be cached to disk to work, so search any bags first to force a cache."
Upload all loaded custom files to the Steam Cloud?,,Upload all loaded custom files to the Steam Cloud?,Upload all loaded custom files to the Steam Cloud?
Upload file to the Steam Cloud or load from your local disk. (Note: Local files will not work in multiplayer),,Upload file to the Steam Cloud or load from your local disk. (Note: Local files will not work in multiplayer),Upload file to the Steam Cloud or load from your local disk. (Note: Local files will not work in multiplayer)
"Upload your AssetBundle to a web host, then copy paste the direct link here. This is an advanced feature for people that know how to use the Unity engine. You can find a link to the project on our Knowledge base. AssetBundles give full shader material support, animations, sounds, lights, particles, and much more.",,"Upload your AssetBundle to a web host, then copy paste the direct link here. This is an advanced feature for people that know how to use the Unity engine. You can find a link to the project on our Knowledge base. AssetBundles give full shader / material support, animations, sounds, lights, particles, and much more.","Upload your AssetBundle to a web host, then copy paste the direct link here. This is an advanced feature for people that know how to use the Unity engine. You can find a link to the project on our Knowledge base. AssetBundles give full shader / material support, animations, sounds, lights, particles, and much more."
"Upload your PDF File to a web host, then copy paste the direct link here.",,"Upload your PDF File to a web host, then copy paste the direct link here.","Upload your PDF File to a web host, then copy paste the direct link here."
"Upload your audio to a web host, then copy paste the direct link here.",,"Upload your audio to a web host, then copy paste the direct link here.","Upload your audio to a web host, then copy paste the direct link here."
"Upload your image to a web host, then copy paste the direct link here.",,"Upload your image to a web host, then copy paste the direct link here.","Upload your image to a web host, then copy paste the direct link here."
"Upload your image to a web host, then copy paste the direct link here. JPG or PNG.",,"Upload your image to a web host, then copy paste the direct link here. JPG or PNG.","Upload your image to a web host, then copy paste the direct link here. JPG or PNG."
"Upload your image to a web host, then copy paste the direct link here. JPG or PNG. (256x16)",,"Upload your image to a web host, then copy paste the direct link here. JPG or PNG. (256x16)","Upload your image to a web host, then copy paste the direct link here. JPG or PNG. (256x16)"
"Upload your image to a web host, then copy paste the direct link here. PNG with transparency recommended.",,"Upload your image to a web host, then copy paste the direct link here. PNG with transparency recommended.","Upload your image to a web host, then copy paste the direct link here. PNG with transparency recommended."
"Upload your model to a web host, then copy paste the direct link here. Make sure it's triangulated.",,"Upload your model to a web host, then copy paste the direct link here. Make sure it's triangulated.","Upload your model to a web host, then copy paste the direct link here. Make sure it's triangulated."
Use (Dpad) to pan the camera around.,,Use <Dpad> to pan the camera around.,Use <Dpad> to pan the camera around.
Use (Right Trigger) or (Left Trigger) while holding an object.,,Use <Right Trigger> or <Left Trigger> while holding an object.,Use <Right Trigger> or <Left Trigger> while holding an object.
Use (WASD) to pan the camera around.,,Use <WASD> to pan the camera around.,Use <WASD> to pan the camera around.
Use ({0}) on an object to bring it up.,,Use <{0}> on an object to bring it up.,Use <{0}> on an object to bring it up.
Use Gravity,,Use Gravity,Use Gravity
Use a two finger rotate gesture on an object.,,Use a two finger rotate gesture on an object.,Use a two finger rotate gesture on an object.
Use for main object movement like grabbing and flipping when playing a game.,,Use for main object movement like grabbing and flipping when playing a game.,Use for main object movement like grabbing and flipping when playing a game.
Use high resolution HDRI Panorama. ((4000x2000),,Use high resolution HDRI Panorama. (<4000x2000),Use high resolution HDRI Panorama. (<4000x2000)
Use multiple cores of your CPU to load mods faster. If you are unable to load any mods try turning this off.,,Use multiple cores of your CPU to load mods faster. If you are unable to load any mods try turning this off.,Use multiple cores of your CPU to load mods faster. If you are unable to load any mods try turning this off.
Use pinch to zoom in and out.,,Use pinch to zoom in and out.,Use pinch to zoom in and out.
"Use the Gizmo to manipulate an object's position, rotation, and scale.",,"Use the Gizmo to manipulate an object's position, rotation, and scale.","Use the Gizmo to manipulate an object's position, rotation, and scale."
Use the pixel paint tool for a more cartoony and pixelated look. Hold shift to draw straight lines.,,Use the pixel paint tool for a more cartoony and pixelated look. Hold shift to draw straight lines.,Use the pixel paint tool for a more cartoony and pixelated look. Hold shift to draw straight lines.
Use the scroll wheel to zoom in and out.,,Use the scroll wheel to zoom in and out.,Use the scroll wheel to zoom in and out.
Use this to supply custom value to dice or tile sides.,,Use this to supply custom value to dice or tile sides.,Use this to supply custom value to dice or tile sides.
Use to move an object in space. Snap move. Screen space translation.,,Use to move an object in space. Snap move. Screen space translation.,Use to move an object in space. Snap move. Screen space translation.
Use to rotate an object. Snap rotate.,,Use to rotate an object. Snap rotate.,Use to rotate an object. Snap rotate.
Use to scale an object by stretching its sides. Snap scaling. Scale from center.,,Use to scale an object by stretching its sides. Snap scaling. Scale from center.,Use to scale an object by stretching its sides. Snap scaling. Scale from center.
Use to scale an object. Snap scaling. Uniform scale.,,Use to scale an object. Snap scaling. Uniform scale.,Use to scale an object. Snap scaling. Uniform scale.
Use two fingers in a dragging motion.,,Use two fingers in a dragging motion.,Use two fingers in a dragging motion.
Use your (Right Stick).,,Use your <Right Stick>.,Use your <Right Stick>.
User Interfaces,,User Interfaces,User Interfaces
Utility,,Utility,Utility
VR Settings,,VR Settings,VR Settings
VR Settings...,,VR Settings...,VR Settings...
VSync,,VSync,VSync
Value,,Value,Value
Vampire,,Vampire,Vampire
Velocity,,Velocity,Velocity
Vertical,,Vertical,Vertical
Very High,,Very High,Very High
Very Low,,Very Low,Very Low
Villains,,Villains,Villains
Virtual Hand View,,Virtual Hand View,Virtual Hand View
Visibility,,Visibility,Visibility
Visible,,Visible,Visible
Visual Mode,,Visual Mode,Visual Mode
Visualize Field of View.,,Visualize Field of View.,Visualize Field of View.
Visualize FoV,,Visualize FoV,Visualize FoV
Voice Chat,,Voice Chat,Voice Chat
Voice Chat Toggle,,Voice Chat Toggle,Voice Chat Toggle
Voice From Player Position,,Voice From Player Position,Voice From Player Position
Voice Input,,Voice Input,Voice Input
Voice Output,,Voice Output,Voice Output
Voice Team Chat,,Voice Team Chat,Voice Team Chat
Volume Scale,,Volume Scale,Volume Scale
WESTWARD,,Westward,Westward
WORKSHOP,,Workshop,Workshop
Waiting for players,,Waiting for players,Waiting for players
Wall,,Wall,Wall
"Want more actions? The contextual menu has all sorts of options. You can deal cards, name objects, color tint, and much more!",,"Want more actions? The contextual menu has all sorts of options.
You can deal cards, name objects, color tint, and much more!","Want more actions? The contextual menu has all sorts of options.
You can deal cards, name objects, color tint, and much more!"
Wargames,,Wargames,Wargames
Warrior,,Warrior,Warrior
We could not find this Workshop item. It was likely deleted. Do you want to unsubscribe from the following Workshop item?,,We could not find this Workshop item. It was likely deleted. Do you want to unsubscribe from the following Workshop item?,We could not find this Workshop item. It was likely deleted. Do you want to unsubscribe from the following Workshop item?
Website URL,,Website URL,Website URL
Welcome to the tutorial!,,Welcome to the tutorial!,Welcome to the tutorial!
Werewolf,,Werewolf,Werewolf
When Unrestricted will show the view you see. When Restricted will show the view a Grey spectator would see.,,When Unrestricted will show the view you see. When Restricted will show the view a Grey spectator would see.,When Unrestricted will show the view you see. When Restricted will show the view a Grey spectator would see.
When held object will automatically raise above other potential collisions and ignore collisions when held.,,When held object will automatically raise above other potential collisions and ignore collisions when held.,When held object will automatically raise above other potential collisions and ignore collisions when held.
When holding an object press plus & to rotate along the other axis. You can also use + your mouse scroll wheel.,,When holding an object press plus & to rotate along the other axis. You can also use + your mouse scroll wheel.,When holding an object press plus & to rotate along the other axis. You can also use + your mouse scroll wheel.
When hovering over an object do you want to hightlight it?,,When hovering over an object do you want to hightlight it?,When hovering over an object do you want to hightlight it?
"When hovering over tooltips will appear for this object (Name, Description, Icon).",,"When hovering over tooltips will appear for this object (Name, Description, Icon).","When hovering over tooltips will appear for this object (Name, Description, Icon)."
When in 2D measurements will be flattened onto the horizontal plane. When in 3D height will be incorporated into the measurement.,,When in 2D measurements will be flattened onto the horizontal plane. When in 3D height will be incorporated into the measurement.,When in 2D measurements will be flattened onto the horizontal plane. When in 3D height will be incorporated into the measurement.
When measuring from an object: Edge: Measure from its nearest edge Center: Measure from its center,,When measuring from an object: Edge: Measure from its nearest edge Center: Measure from its center,When measuring from an object: Edge: Measure from its nearest edge Center: Measure from its center
When object is face down it will be hidden as a question mark.,,When object is face down it will be hidden as a question mark.,When object is face down it will be hidden as a question mark.
When object is inside fog of war it will remain visible.,,When object is inside fog of war it will remain visible.,When object is inside fog of war it will remain visible.
"When objects are dropped, they snap to the closest position on the grid. Objects must have grid enabled on their toggle menu to snap.",,"When objects are dropped, they snap to the closest position on the grid. Objects must have grid enabled on their toggle menu to snap.","When objects are dropped, they snap to the closest position on the grid. Objects must have grid enabled on their toggle menu to snap."
When picked up objects above this one will be attached to it.,,When picked up objects above this one will be attached to it.,When picked up objects above this one will be attached to it.
When rotating objects this is the degrees by which they will spin.,,When rotating objects this is the degrees by which they will spin.,When rotating objects this is the degrees by which they will spin.
Whether to log all players' measurements to the chat window.,,Whether to log all players' measurements to the chat window.,Whether to log all players' measurements to the chat window.
Whether to measure in Imperial (inches) or Metric (cm),,Whether to measure in Imperial (inches) or Metric (cm),Whether to measure in Imperial (inches) or Metric (cm)
"While holding a group of objects, hold and press the right mouse button to drop the last item grabbed. This will also drop the bottom card of a deck or an item from a stack.",,"While holding a group of objects, hold and press the right mouse button to drop the last item grabbed. This will also drop the bottom card of a deck or an item from a stack.","While holding a group of objects, hold and press the right mouse button to drop the last item grabbed. This will also drop the bottom card of a deck or an item from a stack."
"While holding an object, press plus to flip on the other axis. You can also use + the middle mouse button.",,"While holding an object, press plus to flip on the other axis. You can also use + the middle mouse button.","While holding an object, press plus to flip on the other axis. You can also use + the middle mouse button."
"While holding over a card or object, press to see the backside. Players will be notified when someone is peeking with an eye icon over the object.",,"While holding over a card or object, press to see the backside. Players will be notified when someone is peeking with an eye icon over the object.","While holding over a card or object, press to see the backside. Players will be notified when someone is peeking with an eye icon over the object."
While holding the deck shake it with your finger.,,While holding the deck shake it with your finger.,While holding the deck shake it with your finger.
While holding the deck shake your hand.,,While holding the deck shake your hand.,While holding the deck shake your hand.
While holding the deck shake your mouse.,,While holding the deck shake your mouse.,While holding the deck shake your mouse.
While holding the deck shake your pointer.,,While holding the deck shake your pointer.,While holding the deck shake your pointer.
While holding the die shake it with your finger.,,While holding the die shake it with your finger.,While holding the die shake it with your finger.
While holding the die shake your mouse.,,While holding the die shake your mouse.,While holding the die shake your mouse.
While holding the die shake your pointer.,,While holding the die shake your pointer.,While holding the die shake your pointer.
While in VR,,While in VR,While in VR
White,,White,White
White Backgammon,,White Backgammon,White Backgammon
White Bowl,,White Bowl,White Bowl
White Piece,,White Piece,White Piece
Width,,Width,Width
"With the flick tool selected, grab and object and pull. Your pointer will change to the flick pointer. Let go to flick the object. This is useful for games like pool, golf, shuffle board and many others.",,"With the flick tool selected, grab and object and pull. Your pointer will change to the flick pointer. Let go to flick the object. This is useful for games like pool, golf, shuffle board and many others.","With the flick tool selected, grab and object and pull. Your pointer will change to the flick pointer. Let go to flick the object. This is useful for games like pool, golf, shuffle board and many others."
Wolf,,Wolf,Wolf
Wonderful spinning! Let's pick up more than one object.,,Wonderful spinning! Let's pick up more than one object.,Wonderful spinning! Let's pick up more than one object.
Wood,,Wood,Wood
Workshop Description:,,Workshop Description:,Workshop Description:
Workshop ID:,,Workshop ID:,Workshop ID:
Workshop Tags,,Workshop Tags,Workshop Tags
Workshop Tags:,,Workshop Tags:,Workshop Tags:
Workshop Thumbnail URL:,,Workshop Thumbnail URL:,Workshop Thumbnail URL:
Workshop Title:,,Workshop Title:,Workshop Title:
Workshop Upload,,Workshop Upload,Workshop Upload
Workshop is where all the mods you subscribed to from the Steam Workshop is located.,,Workshop is where all the mods you subscribed to from the Steam Workshop is located.,Workshop is where all the mods you subscribed to from the Steam Workshop is located.
WorkshopTitle,,Workshop Title,Workshop Title
Would you like to play the quick Tutorial?,,Would you like to play the quick Tutorial?,Would you like to play the quick Tutorial?
Wyvern,,Wyvern,Wyvern
Yellow,,Yellow,Yellow
Yes,,Yes,Yes
You are a natural! Now let's roll some dice.,,You are a natural! Now let's roll some dice.,You are a natural! Now let's roll some dice.
You can adjust the lighting to give directional sun light and ambient light.,,You can adjust the lighting to give directional sun light and ambient light.,You can adjust the lighting to give directional sun light and ambient light.
You can also grab more than one object by (Left Click) dragging a box selection.,,"You can also grab more than one object by
<Left Click> dragging a box selection.","You can also grab more than one object by
<Left Click> dragging a box selection."
You can also grab more than one object by (Right Bumper) dragging a box selection.,,"You can also grab more than one object by
<Right Bumper> dragging a box selection.","You can also grab more than one object by
<Right Bumper> dragging a box selection."
You can also hide individual parts of the UI in the Configuration UI menu.,,You can also hide individual parts of the UI in the Configuration/UI menu.,You can also hide individual parts of the UI in the Configuration/UI menu.
You can change the permissions for other players. These are global settings that persist between saves.,,You can change the permissions for other players. These are global settings that persist between saves.,You can change the permissions for other players. These are global settings that persist between saves.
You can change the physic mode of the game and update the gravity and room size per game.,,You can change the physic mode of the game and update the gravity and room size per game.,You can change the physic mode of the game and update the gravity and room size per game.
You can change the tags of the game used to search in-game and in the Steam Workshop.,,You can change the tags of the game used to search in-game and in the Steam Workshop.,You can change the tags of the game used to search in-game and in the Steam Workshop.
You can grab more than one object by ({0}) dragging a box selection.,,"You can grab more than one object by
<{0}> dragging a box selection.","You can grab more than one object by
<{0}> dragging a box selection."
You can grab more than one object by Long pressing on multiple objects in a row.,,"You can grab more than one object by
Long pressing on multiple objects in a row.","You can grab more than one object by
Long pressing on multiple objects in a row."
"You can update the server name, password and max players in real time.",,"You can update the server name, password and max players in real time.","You can update the server name, password and max players in real time."
You can use the (Right Trigger) and (Left Trigger) to zoom in and out.,,You can use the <Right Trigger> and <Left Trigger> to zoom in and out.,You can use the <Right Trigger> and <Left Trigger> to zoom in and out.
You can use the (Scroll Wheel) or (Z) to toggle zoom.,,You can use the <Scroll Wheel> or <Z> to toggle zoom.,You can use the <Scroll Wheel> or <Z> to toggle zoom.
"You can use the scroll wheel to zoom in and out and and to rotate the zoomed object. This only works on objects. To view boards, tables, etc, use the Magnify control under the Advanced section. To view the other side of an object, hold + .",,"You can use the scroll wheel to zoom in and out and and to rotate the zoomed object. This only works on objects. To view boards, tables, etc, use the Magnify control under the Advanced section. To view the other side of an object, hold + .","You can use the scroll wheel to zoom in and out and and to rotate the zoomed object. This only works on objects. To view boards, tables, etc, use the Magnify control under the Advanced section. To view the other side of an object, hold + ."
"You must be in a game to use this. In the GAME tab, type color message to talk to someone privately. For example: blue What should I do?",,"You must be in a game to use this. In the GAME tab, type /color message to talk to someone privately. For example: /blue What should I do?","You must be in a game to use this. In the GAME tab, type /color message to talk to someone privately. For example: /blue What should I do?"
"You must have IRC enabled in your chat settings. In the GLOBAL tab, you can private message anyone who is connected to global chat. Type msg name message. For example: msg Kimikat Hello!",,"You must have IRC enabled in your chat settings. In the GLOBAL tab, you can private message anyone who is connected to global chat. Type /msg name message. For example: /msg Kimikat Hello!","You must have IRC enabled in your chat settings. In the GLOBAL tab, you can private message anyone who is connected to global chat. Type /msg name message. For example: /msg Kimikat Hello!"
"You still need to go to your workshop page, upload some screenshots, and make the mod public.",,"You still need to go to your workshop page, upload some screenshots, and make the mod public.","You still need to go to your workshop page, upload some screenshots, and make the mod public."
You will need to flip it with (F) so it stacks. Then drop the card on the deck.,,"You will need to flip it with <F> so it stacks.
Then drop the card on the deck.","You will need to flip it with <F> so it stacks.
Then drop the card on the deck."
You will need to flip it with (Pad Up) so it stacks. Then drop the card on top of the deck.,,"You will need to flip it with <Pad Up> so it stacks.
Then drop the card on top of the deck.","You will need to flip it with <Pad Up> so it stacks.
Then drop the card on top of the deck."
You will need to flip it with (X) so it stacks. Then drop the card on top of the deck.,,"You will need to flip it with <X> so it stacks.
Then drop the card on top of the deck.","You will need to flip it with <X> so it stacks.
Then drop the card on top of the deck."
You will need to flip it with double tap so it stacks. Then drop the card on top of the deck.,,"You will need to flip it with double tap so it stacks.
Then drop the card on top of the deck.","You will need to flip it with double tap so it stacks.
Then drop the card on top of the deck."
Your upload to Workshop was successful! Save this number to update the mod in the future. (Can also be found in the URL for your mod),,Your upload to Workshop was successful! Save this number to update the mod in the future. (Can also be found in the URL for your mod),Your upload to Workshop was successful! Save this number to update the mod in the future. (Can also be found in the URL for your mod)
Zone,,Zone,Zone
