Key,Desc,Default,Chinese (Traditional)
The maximum distance between the bodies relative to their initial distance.,,The maximum distance between the bodies relative to their initial distance.,物體初始距離的相對距離上限。
The minimum distance between the bodies relative to their initial distance.,,The minimum distance between the bodies relative to their initial distance.,物體初始距離的相對距離下限。
"The most reduced physics mode. Objects that are at rest will no longer interact with other objects. No throwing, clumping, lowering, or pushing.",,"The most reduced physics mode. Objects that are at rest will no longer interact with other objects. No throwing, clumping, lowering, or pushing.",物理效果最少的模式。靜止物件將停止與其他物件互動。無法投擲、緩慢移動、落下，或是推動。
The motor will apply a force up to a maximum force to achieve the velocity in degrees per second.,,The motor will apply a force up to a maximum force to achieve the velocity in degrees per second.,驅動力會將力提高至最大，使物體達到目標速率（度／秒）。
The name for the server.,,The name for the server.,伺服器的名稱。
The name of the asset.,,The name of the asset.,配件的名稱。
The name of the audio asset.,,The name of the audio asset.,音訊配件的名稱。
The name of the decal.,,The name of the decal.,此印花的名稱。
The number of pixels the game uses to render. Recommended to be the same as your monitor.,,The number of pixels the game uses to render. Recommended to be the same as your monitor.,遊戲進行渲染的解析度。推薦使用與顯示器相同的解析度。
The object will stretch to match the aspect ratio of the supplied image.,,The object will stretch to match the aspect ratio of the supplied image.,物件會拉伸以符合圖像的長寬比。
The password for the server. Only usable for public servers.,,The password for the server. Only usable for public servers.,伺服器的密碼。僅適用於公開伺服器。
The points tool can be used to create snap points and rotate snap points to make placing objects down much easier and smoother. Clicking on an unlocked object will place the snap point right where it's place. Clicking on a locked object will attache the s,The points tool can be used to create snap points and rotate snap points to make placing objects down much easier and smoother. Clicking on an unlocked object will place the snap point right where it's place. Clicking on a locked object will attache the snap point to that object.,,
The points tool can be used to create snap points and rotate snap points to make placing objects down much easier and smoother. Clicking on an unlocked object will place the snap point right where it's place. Clicking on a locked object will attache the snap point to that object.,,The points tool can be used to create snap points and rotate snap points to make placing objects down much easier and smoother. Clicking on an unlocked object will place the snap point right where it's place. Clicking on a locked object will attache the snap point to that object.,吸附點工具可以建立吸附點和旋轉吸附點，使物件的放置更加容易且平滑。點擊未鎖定的物件會在所在位置放置吸附點。點擊鎖定的物件會在物件上放置吸附點。
"The quality, filtering, and distance of shadows. Also affects the lighting quality.",,"The quality, filtering, and distance of shadows. Also affects the lighting quality.",陰影的品質、過濾和距離。同樣影響光照品質。
"The reflective color of the object. RGB 255, 255, 255.",,"The reflective color of the object. RGB 255, 255, 255.","物件的反射色。RGB 最大值分別為：255, 255, 255。"
The saved objects menu is where you can saved and spawn any of your custom objects. You can click to spawn or drag and drop.,,The saved objects menu is where you can saved and spawn any of your custom objects. You can click to spawn or drag and drop.,儲存物件選單可以儲存和生成任何自訂物件。您可以點擊生成或拖放。
The size of the decal in inches.,,The size of the decal in inches.,印花的英吋尺寸。
The spring force used to keep the two objects together.,,The spring force used to keep the two objects together.,彈力用於連結兩個物體。
The text tool can be used to write text on any locked object. You can change the size of the font and the color.,,The text tool can be used to write text on any locked object. You can change the size of the font and the color.,文字工具可以在任何鎖定物件上書寫。您可以更改字型的大小和顏色。
The thickness or depth of the mesh.,,The thickness or depth of the mesh.,網格的粗細或深淺。
The torque that needs to be applied for this joint to break.,,The torque that needs to be applied for this joint to break.,亂開節點所需的扭力。
The type of the game you are playing (Used to search for games).,,The type of the game you are playing (Used to search for games).,目前遊戲的類型（用於搜尋遊戲）。
The zone tool is a collection of tools that deal with rectangle areas.,,The zone tool is a collection of tools that deal with rectangle areas.,區域工具是處理矩形區域的工具集。
Thematic Games,,Thematic Games,主題遊戲
Theme,,Theme,主題
Theme Editor,,Theme Editor,主題編輯器
Theme:,,Theme:,主題：
Theme: {0},,Theme: {0},主題：{0}
"There are a lot of tips, tricks and tutorials that can really enchance your gameplay and prototyping in our Knowledge Base.",,"There are a lot of tips, tricks and tutorials that can really enchance your gameplay and prototyping in our Knowledge Base.",官方知識庫中有很多提示、技巧和教學，可以提高您的遊玩和設計體驗。
There tags are used to filter your games.,,There tags are used to filter your games.,用於篩選遊戲的標籤。
Theses backgrounds provide the different lighting effects on the objects.,,Theses backgrounds provide the different lighting effects on the objects.,這些背景提供不同的物體光照效果。
Thick,,Thick,粗
Thickness,,Thickness,粗細
Thief,,Thief,盜賊
Thin,,Thin,細
This Menu,,This Menu,此選單
This determines how objects are hidden in hands.,,This determines how objects are hidden in hands.,調整手牌區中隱藏物件的方式。
"This is an advanced feature that gives you more control on how multiple objects work together. You can create moving wheels, spinners, and much more.",,"This is an advanced feature that gives you more control on how multiple objects work together. You can create moving wheels, spinners, and much more.",這是設定多物件連結的進階選項。您可以建立移動的車輪、轉輪以及更多物品。
This is an advanced feature which gives you control on the physics and materials of objects.,,This is an advanced feature which gives you control on the physics and materials of objects.,這是設定物件的物理和材料的進階選項。
This is tags used to search in the Steam Workshop.,,This is tags used to search in the Steam Workshop.,用於 Steam 工作坊搜尋的標籤。
This is the amount of time the current game takes (Used to search for games).,,This is the amount of time the current game takes (Used to search for games).,目前遊戲的一般所需時間（用於搜尋遊戲）。
This is the number of players the current game allows (different from the max number of players allowed on the server).,,This is the number of players the current game allows (different from the max number of players allowed on the server).,目前遊戲的玩家上限（不同於伺服器玩家上限）。
This menu is used to update an existing mod on the Workshop.,,This menu is used to update an existing mod on the Workshop.,此選單用於更新工作坊已有的模組。
"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod","This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod.",,
"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod.",,"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod.",此選單用於將目前的內容作為遊戲上傳至 Steam 工作坊。若您想要更新已上傳的模組，請確保選取「更新工作坊」標籤。若未選取，您將生成多版本模組。
"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the Update Workshop tab. If not, you will generate multiple versions of your mod.",,"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod.  <Click to open page to knowledge base.>",此選單用於將目前的內容作為遊戲上傳至 Steam 工作坊。若您想要更新已上傳的模組，請確保選取「更新工作坊」標籤。若未選取，您將生成多版本模組。＜點擊開啟官方知識庫頁面。＞
This object will hold one object inside with an infinite number of them.,,This object will hold one object inside with an infinite number of them.,此物件可以無限收納任一物件。
This object will hold others inside.,,This object will hold others inside.,此物件可以收納其他物件。
This only takes effect if you are using the gradient mode above.,,This only takes effect if you are using the gradient mode above.,僅在漸層光照模式啟用時生效。
"This switches you between 3 different camera modes: 3rd Person (Default), 1st Person & Topdown.",,"This switches you between 3 different camera modes: 3rd Person (Default), 1st Person & Topdown.",此項在 3 種不同的鏡頭模式中切換：第三人稱（預設）、第一人稱、俯視視角。
Tile,,Tile,磚塊牌
Tileset,,Tileset,磚塊道具
Tilt Angle,,Tilt Angle,傾斜角度
Tilt Mode,,Tilt Mode,傾斜模式
Time to move those feet!,,Time to move those feet!,是時候走動一下了！
Timer,,Timer,計時器
Timer Seconds,,Timer Seconds,計時器秒數
Timestamp Game,,Timestamp Game,遊戲時間戳
Timestamp Global,,Timestamp Global,全域時間戳
Timestamp System,,Timestamp System,系統時間戳
Timestamp Team,,Timestamp Team,小組時間戳
Timestamps,,Timestamps,時間戳
Title,,Title,標題
"To select more than one object, hold and press the left mouse button over each object you want to select. Alternatively, you can drag a box around multiple objects to select them.",,"To select more than one object, hold and press the left mouse button over each object you want to select. Alternatively, you can drag a box around multiple objects to select them.",想要選取一個以上的物件時，可以按住＜Ctrl＞並使用＜滑鼠左鍵＞點擊想要選取的物件。或者，您也可以畫出矩形以多選物件。
"To use double digits, just type them quickly. There is a slight delay before the dice changes.",,"To use double digits, just type them quickly. There is a slight delay before the dice changes.",想要使用十位數，只要快速輸入即可。骰子變化前有一個短暫的延遲。
Toggle,,Toggle,切換
Toggle Lua scripting on or off.,,Toggle Lua scripting on or off.,切換 Lua 腳本啟用或停用。
Toggle between a thin or thick line.,,Toggle between a thin or thick line.,切換線條粗細。
Toggle between using the ambient light of the selected background or the gradient colors below.,,Toggle between using the ambient light of the selected background or the gradient colors below.,切換使用選取背景的環境光或是下方的漸層光照。
Toggle between window or fullscreen.,,Toggle between window or fullscreen.,切換視窗化或全螢幕。
Toggle revealing of Fog of War by this piece.,,Toggle revealing of Fog of War by this piece.,切換附近展示的戰爭迷霧。
Toggles,,Toggles,切換
Token,,Token,標記物
Tool,,Tool,工具
Tool Icon Colored,,Tool Icon Colored,工具圖示彩色顯示
Tools,,Tools,工具
Tooltip,,Tooltip,提示
Tooltips Action Enabled,,Tooltips Action Enabled,啟用工具提示
Tooltips Always On,,Tooltips Always On,保持開啟提示
Tooltips Initial Duration,,Tooltips Initial Duration,首次提示持續時間
Top Down,,Top Down,俯視視角
Top Image,,Top Image,頂部圖案
Top Menu,,Top Menu,頂部選單
Touch,,Touch,觸控
Touch (Pad Down) on a controller while hovering over an object (with either controller).,,Touch <Pad Down> on a controller while hovering over an object (with either controller).,游標懸停於物件上時，按下控制器的＜十字鍵下＞（任一控制器）。
Trading Card Games,,Trading Card Games,交換卡片遊戲
Transform Space,,Transform Space,坐標相對空間
Tree,,Tree,樹木
Tree Ent,,Tree Ent,樹人
Trigger Effect,,Trigger Effect,觸發效果
Troll,,Troll,巨魔
Tunnel,,Tunnel,地下通道
Turn (Click to skip),,Turn (Click to skip),回合（點擊以跳過）
Turns,,Turns,回合
Turns allow an easy way to keep track of who should be playing.,,Turns allow an easy way to keep track of who should be playing.,回合方便追蹤目前是誰的回合。
Tutorial,,Tutorial,教學
Tutorial Test Font,,Tutorial Test Font,教學測試字型
Type,,Type,類型
Type determines the shape of the cards.,,Type determines the shape of the cards.,輸入調整卡片的形狀。
Type help in both the GLOBAL and GAME tabs to bring up all the chat commands for each tab.,,Type /help in both the GLOBAL and GAME tabs to bring up all the chat commands for each tab.,在全域和遊戲分頁中輸入「/help」即可顯示各分頁的所有聊天指令。
Type of server you want to have. This limits who can join.,,Type of server you want to have. This limits who can join.,選擇伺服器的類型，其會限制可以進入的玩家。
UI Mode,,UI Mode,介面模式
UI Scale,,UI Scale,介面尺寸
UI Tooltip Delay,,UI Tooltip Delay,介面提示延遲
UPDATE,,Update,更新
UP_THEN_LEFT,,Up / Left,上／左
UP_THEN_RIGHT,,Up / Right,上／右
URL,,URL,連結
Ui Toast Duration,,,介面吐司提示時間
Ultra,,Ultra,極致
Under,,Under,置底
Unique Backs,,Unique Backs,花樣背面
Units,,Units,單位
Unknown Title,,Unknown Title,未知標題
Up,,Up,上
Update Existing Mod,,Update Existing Mod,更新已有模組
Update Workshop,,Update Workshop,更新工作坊
Updated,,Updated,已更新
Upload,,Upload,上傳
Upload All Loaded Files,,Upload All Loaded Files,上傳所有已載入檔案
Upload File,,Upload File,上傳檔案
Upload Local File,,Upload Local File,上傳本機檔案
Upload Workshop,,Upload Workshop,上傳工作坊
"Upload all currently loaded custom files to the Steam Cloud. Great for converting your local content to work in multiplayer or backing up mods with dead links to the Steam Cloud. Custom files must be cached to disk to work, so search any bags first to for","Upload all currently loaded custom files to the Steam Cloud. Great for converting your local content to work in multiplayer or backing up mods with dead links to the Steam Cloud. Custom files must be cached to disk to work, so search any bags first to force a cache.",,
"Upload all currently loaded custom files to the Steam Cloud. Great for converting your local content to work in multiplayer or backing up mods with dead links to the Steam Cloud. Custom files must be cached to disk to work, so search any bags first to force a cache.",,"Upload all currently loaded custom files to the Steam Cloud. Great for converting your local content to work in multiplayer or backing up mods with dead links to the Steam Cloud. Custom files must be cached to disk to work, so search any bags first to force a cache.",上傳所有目前載入的自訂檔案至 Steam 雲端。非常適合將本機內容轉換為多人可用或是將失效連結的模組備份至 Steam 雲端。自訂檔案必須快取至硬碟才能正常工作，因此請先搜尋任意收納袋（Bags）以強制進行快取。
Upload all loaded custom files to the Steam Cloud?,,Upload all loaded custom files to the Steam Cloud?,是否要上傳所有載入的自訂檔案至 Steam 雲端呢？
Upload file to the Steam Cloud or load from your local disk. (Note: Local files will not work in multiplayer),,Upload file to the Steam Cloud or load from your local disk. (Note: Local files will not work in multiplayer),上傳檔案至 Steam 雲端或從本機硬碟載入。（提示：多人遊戲中無法載入本機檔案）
"Upload your AssetBundle to a web host, then copy paste the direct link here. This is an advanced feature for people that know how to use the Unity engine. You can find a link to the project on our Knowledge base. AssetBundles give full shader material sup","Upload your AssetBundle to a web host, then copy paste the direct link here. This is an advanced feature for people that know how to use the Unity engine. You can find a link to the project on our Knowledge base. AssetBundles give full shader / material support, animations, sounds, lights, particles, and much more.",,
"Upload your AssetBundle to a web host, then copy paste the direct link here. This is an advanced feature for people that know how to use the Unity engine. You can find a link to the project on our Knowledge base. AssetBundles give full shader material support, animations, sounds, lights, particles, and much more.",,"Upload your AssetBundle to a web host, then copy paste the direct link here. This is an advanced feature for people that know how to use the Unity engine. You can find a link to the project on our Knowledge base. AssetBundles give full shader / material support, animations, sounds, lights, particles, and much more.",上傳 AssetBundle 至網頁代管，然後將連結在此處複製貼上。這是為了解 Unity 引擎的使用者提供的進階選項。您可以在官方知識庫中找到相關連結。AssetBundle 提供全面的著色和材料支援，以及動作、音效、光照、粒子等等。
"Upload your PDF File to a web host, then copy paste the direct link here.",,"Upload your PDF File to a web host, then copy paste the direct link here.",上傳 PDF 檔案至網頁代管，然後將連結在此處複製貼上。
"Upload your audio to a web host, then copy paste the direct link here.",,"Upload your audio to a web host, then copy paste the direct link here.",上傳音訊至網頁代管，然後將連結在此處複製貼上。
"Upload your image to a web host, then copy paste the direct link here.",,"Upload your image to a web host, then copy paste the direct link here.",上傳圖片至網頁代管，然後將連結在此處複製貼上。
"Upload your image to a web host, then copy paste the direct link here. JPG or PNG.",,"Upload your image to a web host, then copy paste the direct link here. JPG or PNG.",上傳圖片至網頁代管，然後將連結在此處複製貼上。支援 JPG 或 PNG 格式。
"Upload your image to a web host, then copy paste the direct link here. JPG or PNG. (256x16)",,"Upload your image to a web host, then copy paste the direct link here. JPG or PNG. (256x16)",上傳圖片至網頁代管，然後將連結在此處複製貼上。支援 JPG 或 PNG 格式，尺寸為 256x16。
"Upload your image to a web host, then copy paste the direct link here. PNG with transparency recommended.",,"Upload your image to a web host, then copy paste the direct link here. PNG with transparency recommended.",上傳圖片至網頁代管，然後將連結在此處複製貼上。建議使用含透明背景的 PNG 格式。
"Upload your model to a web host, then copy paste the direct link here. Make sure it's triangulated.",,"Upload your model to a web host, then copy paste the direct link here. Make sure it's triangulated.",上傳模型至網頁代管，然後將連結在此處複製貼上。請確保模型已三角化。
Use (Dpad) to pan the camera around.,,Use <Dpad> to pan the camera around.,用＜十字鍵＞來移動鏡頭。
Use (Right Trigger) or (Left Trigger) while holding an object.,,Use <Right Trigger> or <Left Trigger> while holding an object.,拿取物件時，使用＜RT＞或＜LT＞。
Use (WASD) to pan the camera around.,,Use <WASD> to pan the camera around.,用＜WSAD＞來移動鏡頭。
Use ({0}) on an object to bring it up.,,Use <{0}> on an object to bring it up.,在物件上使用＜{0}＞拿取。
Use Gravity,,Use Gravity,使用重力
Use a two finger rotate gesture on an object.,,Use a two finger rotate gesture on an object.,在物件上使用雙手指旋轉手勢。
Use for main object movement like grabbing and flipping when playing a game.,,Use for main object movement like grabbing and flipping when playing a game.,用於遊戲中的一般物件移動，如拿取和翻面。
Use high resolution HDRI Panorama. ((4000x2000),,Use high resolution HDRI Panorama. (<4000x2000),使用高解析度的全景高動態範圍成像，解析度小於 4000x2000。
Use multiple cores of your CPU to load mods faster. If you are unable to load any mods try turning this off.,,Use multiple cores of your CPU to load mods faster. If you are unable to load any mods try turning this off.,使用 CPU 的多核心以更快的載入模組。若無法載入模組，請停用此項。
Use pinch to zoom in and out.,,Use pinch to zoom in and out.,使用手指進行放大或縮小。
"Use the Gizmo to manipulate an object's position, rotation, and scale.",,"Use the Gizmo to manipulate an object's position, rotation, and scale.",使用調整工具以更改物件的方向、旋轉角度、尺寸。
Use the pixel paint tool for a more cartoony and pixelated look. Hold shift to draw straight lines.,,Use the pixel paint tool for a more cartoony and pixelated look. Hold shift to draw straight lines.,使用像素畫工具來取得更卡通風和像素風的外觀。按住＜Shift＞劃出線條。
Use the scroll wheel to zoom in and out.,,Use the scroll wheel to zoom in and out.,使用＜滑鼠滾輪＞進行放大或縮小。
Use this to supply custom value to dice or tile sides.,,Use this to supply custom value to dice or tile sides.,使用此項為骰子或磚塊牌面設定自訂數值。
Use to move an object in space. Snap move. Screen space translation.,,Use to move an object in space. Snap move. Screen space translation.,用於空間中移動物件。吸附移動。螢幕空間移動。
Use to rotate an object. Snap rotate.,,Use to rotate an object. Snap rotate.,用於旋轉物件。吸附旋轉。
Use to scale an object by stretching its sides. Snap scaling. Scale from center.,,Use to scale an object by stretching its sides. Snap scaling. Scale from center.,用於縮放物件。定量縮放。中心縮放。
Use to scale an object. Snap scaling. Uniform scale.,,Use to scale an object. Snap scaling. Uniform scale.,用於縮放物件。定量縮放。等比例縮放。
Use two fingers in a dragging motion.,,Use two fingers in a dragging motion.,拖取運動中使用雙手指。
Use your (Right Stick).,,Use your <Right Stick>.,使用您的＜RS＞。
User Interfaces,,User Interfaces,使用者介面
Utility,,Utility,Utility
VR Settings,,VR Settings,VR 設定
VR Settings...,,VR Settings...,VR 設定……
VSync,,VSync,垂直同步
Value,,Value,數值
Vampire,,Vampire,吸血鬼
Velocity,,Velocity,速度
Vertical,,Vertical,垂直方向
Very High,,Very High,極高
Very Low,,Very Low,極低
Villains,,Villains,反派
Virtual Hand View,,Virtual Hand View,虛擬手部視角
Visibility,,Visibility,可見性
Visible,,Visible,可見
Visual Mode,,Visual Mode,視覺效果
Visualize Field of View.,,Visualize Field of View.,視角的可視範圍。
Visualize FoV,,Visualize FoV,可視範圍
Voice Chat,,Voice Chat,語音聊天
Voice Chat Toggle,,Voice Chat Toggle,切換語音聊天
Voice From Player Position,,Voice From Player Position,來自玩家位置的聲音
Voice Input,,Voice Input,輸入音量
Voice Output,,Voice Output,輸出音量
Voice Team Chat,,Voice Team Chat,小組語音聊天
Volume Scale,,Volume Scale,尺寸比例
WESTWARD,,Westward,向西
WORKSHOP,,Workshop,工作坊
Waiting for players,,Waiting for players,等待玩家
Wall,,Wall,牆壁
"Want more actions? The contextual menu has all sorts of options. You can deal cards, name objects, color tint, and much more!",,"Want more actions? The contextual menu has all sorts of options.
You can deal cards, name objects, color tint, and much more!","想要執行更多動作嗎？
環境選單擁有任何類別的選項。可以發牌，命名物件，調色等等！"
Wargames,,Wargames,戰爭遊戲
Warrior,,Warrior,戰士
We could not find this Workshop item. It was likely deleted. Do you want to unsubscribe from the following Workshop item?,,We could not find this Workshop item. It was likely deleted. Do you want to unsubscribe from the following Workshop item?,無法找到此工作坊物品，似乎已經被刪除了。是否想要取消訂閱該工作坊物品呢？
Website URL,,Website URL,網站連結
Welcome to the tutorial!,,Welcome to the tutorial!,歡迎來到教學！
Werewolf,,Werewolf,狼人
When Unrestricted will show the view you see. When Restricted will show the view a Grey spectator would see.,,When Unrestricted will show the view you see. When Restricted will show the view a Grey spectator would see.,無限制時，展示您的視角。有限制時，展示灰色旁觀者的視角。
When held object will automatically raise above other potential collisions and ignore collisions when held.,,When held object will automatically raise above other potential collisions and ignore collisions when held.,拿取物件時，自動抬昇高於潛在碰撞，並忽略碰撞。
When holding an object press plus & to rotate along the other axis. You can also use + your mouse scroll wheel.,,When holding an object press plus & to rotate along the other axis. You can also use + your mouse scroll wheel.,拿取物件時，按住＜Alt＞，使用＜Q＞或＜E＞沿參考軸線旋轉物件。您也可以使用＜滑鼠滾輪＞進行此動作。
When hovering over an object do you want to hightlight it?,,When hovering over an object do you want to hightlight it?,是否要標示游標所在位置的物體呢？
"When hovering over tooltips will appear for this object (Name, Description, Icon).",,"When hovering over tooltips will appear for this object (Name, Description, Icon).",是否顯示游標所在位置的物體提示（名稱、簡介、圖示）。
When in 2D measurements will be flattened onto the horizontal plane. When in 3D height will be incorporated into the measurement.,,When in 2D measurements will be flattened onto the horizontal plane. When in 3D height will be incorporated into the measurement.,2D 中測量水平面上兩點的直線距離。3D 中測量立體空間的直線距離。
When measuring from an object: Edge: Measure from its nearest edge Center: Measure from its center,,When measuring from an object: Edge: Measure from its nearest edge Center: Measure from its center,"測量物件時：
邊緣：測量最近的邊緣
中心：測量中心"
When object is face down it will be hidden as a question mark.,,When object is face down it will be hidden as a question mark.,物件面朝下時，隱藏為問號。
When object is inside fog of war it will remain visible.,,When object is inside fog of war it will remain visible.,物件位於戰爭迷霧中時，將保持可見。
"When objects are dropped, they snap to the closest position on the grid. Objects must have grid enabled on their toggle menu to snap.",,"When objects are dropped, they snap to the closest position on the grid. Objects must have grid enabled on their toggle menu to snap.",物件放下時，可吸附在最近的網格上。物件必須在切換選單中啟用網格才會進行吸附。
When picked up objects above this one will be attached to it.,,When picked up objects above this one will be attached to it.,拿取時，連結在上面的物件也會一同拿起。
When rotating objects this is the degrees by which they will spin.,,When rotating objects this is the degrees by which they will spin.,物件每次旋轉的角度。
Whether to log all players' measurements to the chat window.,,Whether to log all players' measurements to the chat window.,是否在聊天中記錄所有玩家的測量結果。
Whether to measure in Imperial (inches) or Metric (cm),,Whether to measure in Imperial (inches) or Metric (cm),使用英制（英吋）或公制（公分）進行測量
"While holding a group of objects, hold and press the right mouse button to drop the last item grabbed. This will also drop the bottom card of a deck or an item from a stack.",,"While holding a group of objects, hold and press the right mouse button to drop the last item grabbed. This will also drop the bottom card of a deck or an item from a stack.",拿取一組物件時，按住＜Alt＞並按下滑鼠右鍵，放下最後拿起的物品。此動作也可以放下牌堆最下面的卡片或是分組最下面的物品。
"While holding an object, press plus to flip on the other axis. You can also use + the middle mouse button.",,"While holding an object, press plus to flip on the other axis. You can also use + the middle mouse button.",拿取物件時，按住＜Alt＞並使用＜F＞沿參考軸線翻面。
"While holding over a card or object, press to see the backside. Players will be notified when someone is peeking with an eye icon over the object.",,"While holding over a card or object, press to see the backside. Players will be notified when someone is peeking with an eye icon over the object.",游標懸停於卡片或物件上時，按住＜Alt + Shift＞可查看背面。其他玩家會看到物件上出現眼睛的圖示，表明某人正在偷看。
While holding the deck shake it with your finger.,,While holding the deck shake it with your finger.,拿起牌堆並用手指搖動牌堆。
While holding the deck shake your hand.,,While holding the deck shake your hand.,拿起牌堆並搖動手部。
While holding the deck shake your mouse.,,While holding the deck shake your mouse.,拿起牌堆並搖動滑鼠。
While holding the deck shake your pointer.,,While holding the deck shake your pointer.,拿起牌堆並搖動游標。
While holding the die shake it with your finger.,,While holding the die shake it with your finger.,拿起骰子並用手指搖動它。
While holding the die shake your mouse.,,While holding the die shake your mouse.,拿起骰子並搖動滑鼠。
While holding the die shake your pointer.,,While holding the die shake your pointer.,拿起骰子並搖動游標。
While in VR,,While in VR,VR 模式時
White,,White,白色
White Backgammon,,White Backgammon,白色雙陸棋棋子
White Bowl,,White Bowl,白棋棋盒
White Piece,,White Piece,白棋
Width,,Width,寬度
"With the flick tool selected, grab and object and pull. Your pointer will change to the flick pointer. Let go to flick the object. This is useful for games like pool, golf, shuffle board and many others.",,"With the flick tool selected, grab and object and pull. Your pointer will change to the flick pointer. Let go to flick the object. This is useful for games like pool, golf, shuffle board and many others.",使用輕彈工具時，拖取物件並拉動。游標會變為輕彈游標。鬆開可以輕彈物件。很適合撞球、高爾夫球、沙狐球等眾多遊戲。
Wolf,,Wolf,狼
Wonderful spinning! Let's pick up more than one object.,,Wonderful spinning! Let's pick up more than one object.,漂亮的旋轉！現在讓我們撿起多個物件吧。
Wood,,Wood,木製
Workshop Description:,,Workshop Description:,工作坊簡介：
Workshop ID:,,Workshop ID:,工作坊 ID：
Workshop Tags,,Workshop Tags,工作坊標籤
Workshop Tags:,,Workshop Tags:,工作坊標籤：
Workshop Thumbnail URL:,,Workshop Thumbnail URL:,工作坊縮圖連結：
Workshop Title:,,Workshop Title:,工作坊標題：
Workshop Upload,,Workshop Upload,上傳工作坊
Workshop is where all the mods you subscribed to from the Steam Workshop is located.,,Workshop is where all the mods you subscribed to from the Steam Workshop is located.,工作坊是您從 Steam 工作坊訂閱模組的儲存路徑。
WorkshopTitle,,Workshop Title,工作坊標題
Would you like to play the quick Tutorial?,,Would you like to play the quick Tutorial?,您想要遊玩快速教學嗎？
Wyvern,,Wyvern,飛龍
Yellow,,Yellow,黃色
Yes,,Yes,是
You are a natural! Now let's roll some dice.,,You are a natural! Now let's roll some dice.,您真是太有天賦啦！現在讓我們擲些骰子吧。
You can adjust the lighting to give directional sun light and ambient light.,,You can adjust the lighting to give directional sun light and ambient light.,您可以調整光照來提供太陽光照和環境光照。
You can also grab more than one object by (Left Click) dragging a box selection.,,"You can also grab more than one object by
<Left Click> dragging a box selection.",您也可以透過＜滑鼠左鍵＞劃出矩形以多選物件。
You can also grab more than one object by (Right Bumper) dragging a box selection.,,"You can also grab more than one object by
<Right Bumper> dragging a box selection.",您也可以透過＜RB＞劃出矩形以多選物件。
You can also hide individual parts of the UI in the Configuration UI menu.,,You can also hide individual parts of the UI in the Configuration/UI menu.,您還可以在設定或介面選單中隱藏單獨介面。
You can change the permissions for other players. These are global settings that persist between saves.,,You can change the permissions for other players. These are global settings that persist between saves.,您可以更改其他玩家的權限。這些是存檔之間的全域設定。
You can change the physic mode of the game and update the gravity and room size per game.,,You can change the physic mode of the game and update the gravity and room size per game.,您可以更改每場遊戲的物理模式，更新重力和房間大小。
You can change the tags of the game used to search in-game and in the Steam Workshop.,,You can change the tags of the game used to search in-game and in the Steam Workshop.,您可以更改用於遊戲內和 Steam 工作坊的搜尋標籤。
You can grab more than one object by ({0}) dragging a box selection.,,"You can grab more than one object by
<{0}> dragging a box selection.",您也可以透過＜{0}＞劃出矩形以多選物件。
You can grab more than one object by Long pressing on multiple objects in a row.,,"You can grab more than one object by
Long pressing on multiple objects in a row.","您可以依次點擊物件
來拿取多個物件。"
"You can update the server name, password and max players in real time.",,"You can update the server name, password and max players in real time.",您可以隨時更新伺服器名稱、密碼以及最大玩家數。
You can use the (Right Trigger) and (Left Trigger) to zoom in and out.,,You can use the <Right Trigger> and <Left Trigger> to zoom in and out.,您可以使用＜RT＞以及＜LT＞進行放大或縮小。
You can use the (Scroll Wheel) or (Z) to toggle zoom.,,You can use the <Scroll Wheel> or <Z> to toggle zoom.,可以用＜滑鼠滾輪＞或＜Z＞切換縮放。
"You can use the scroll wheel to zoom in and out and and to rotate the zoomed object. This only works on objects. To view boards, tables, etc, use the Magnify control under the Advanced section. To view the other side of an object, hold + .",,"You can use the scroll wheel to zoom in and out and and to rotate the zoomed object. This only works on objects. To view boards, tables, etc, use the Magnify control under the Advanced section. To view the other side of an object, hold + .",您可以使用＜滑鼠滾輪＞來縮放並旋轉放大的物件。此動作僅適用於物件。若要檢視棋盤、桌子等，請使用「進階」區段中的放大鏡功能。若要查看物件的另一面，請按住＜+＞。
"You must be in a game to use this. In the GAME tab, type color message to talk to someone privately. For example: blue What should I do?",,"You must be in a game to use this. In the GAME tab, type /color message to talk to someone privately. For example: /blue What should I do?",您必須在遊戲中才能執行此動作。在遊戲標籤中，輸入「/顏色英文 訊息內容」以進行私密聊天。例如：/blue 我該怎麼辦呢？
